"в","in, im; auf, an; zu, zum, nach; um; pro, am"
"на","auf; in (Ort); auf; dahin; für; für, am; für"
"а","und; aber; oh"
"как","wie, was; als"
"но","aber; jedoch, sondern"
"к","zu, an, gegenüber, gegen, um, bis zu"
"так","so; also; dermaßen, derart; freilich, nun"
"сказ́ать","sagen, mitteilen"
"от","von, vom; gegen, für; aus, vor"
"кот́орый","welcher"
"о","über; an (jmd.)"
"таќой","solch ein, so ein; so sehr"
"каќой","welch, welcher, was für, wie"
"для","für"
"уж́е","schon, bereits"
"когд́а","wann; wenn; als"
"вот","da(s); hier"
"год","Jahr"
"знать","wissen, sich auskennen, Bescheid wissen, können; kennen, erkennen, verstehen, beherrschen"
"́если","wenn; falls"
"до","bis, bis an, bis zu, bis auf, gegen, ungefähr, etwa, an die, vor, zu"
"вр́емя","Zeit"
"руќа","Hand; Arm"
"д́аже","sogar, selbst, auch"
"чт́обы","um zu, (als) dass; damit"
"раз","mal; eins, einmal; wenn, da"
"глаз","Auge"
"п́ервый","erste"
"день","Tag"
"ничт́о","nichts"
"н́адо","müssen, sollen; nötig sein, benötigen; über"
"голов́а","Kopf, Köpfchen, Gehirn, Verstand; Haupt, Oberhaupt"
"в́идеть","sehen, erblicken; bemerken, merken"
"теп́ерь","nun, in diesem Augenblick; jetzt"
"идт́и","gehen, kommen, mitkommen, folgen, erreichen, losgehen, bewegen, fahren, laufen, stattfinden, gezeigt werden; stehen, passen"
"друг","Freund"
"сейч́ас","jetzt, im Moment, gerade, momentan; sofort, augenblicklich"
"п́осле","nach, danach, hinterher; nachdem"
"сл́ово","Wort, Vokabel; Rede, Ansprache; Versprechen"
"м́есто","Platz, Sitzplatz, Koje; Ort, Stelle, Posten, Position; Gepäckstück"
"д́умать","denken, überlegen, nachdenken, meinen, glauben, beabsichtigen; erinnern; nachdenken"
"лиц́о","Gesicht; Person; Persönlichkeit"
"тогд́а","dann, da; damals"
"н́овый","neu"
"ќаждый","jeder, jede, jedes, alle"
"хор́оший","gut, schön"
"почем́у","warum, weshalb"
"смотр́еть","schauen, sehen, ansehen, zusehen"
"пр́осто","einfach, leicht, simpel, unkompliziert"
"ноѓа","Bein; Fuß"
"никт́о","niemand, keiner"
"п́еред","vor; bevor"
"кон́ечно","natürlich, gewiss, klar, freilich, aber ja"
"ѓород","Stadt"
"н́есколько","einige, mehrere; wenige, ein paar, ein wenig, etwas"
"нач́ать","anfangen, beginnen"
"час","Stunde; Uhrzeit"
"поќа","tschüss, bis bald, bis dann; bis; bis jetzt, fürs erste, vorerst, vorläufig, für den Moment; solange, während"
"посл́едний","letzt, letztes, aktuellst, neuest, jüngst, das letzte"
"хот́я","obwohl, obgleich, auch wenn"
"всегд́а","immer"
"стол","Tisch; Tafel, Kost; Stelle"
"маш́ина","Auto; Maschine"
"ночь","Nacht"
"ж́енщина","Frau, Dame"
"ребёнок","Kind"
"в́ыйти","hinausgehen, hinaustreten, verlassen, aussteigen, herauskommen; alle sein, ausgehen; gelingen, geraten; erscheinen, herauskommen"
"от́ец","Vater"
"вопр́ос","Frage; Angelegenheit, Sache"
"раб́отать","arbeiten, berufstätig sein, sein, tätig sein, geöffnet sein; funktionieren, in Betrieb sein, gehen, laufen"
"почт́и","fast, ; beinahe, nahezu"
